@1++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
@2
@3 COMMAND-LINE:
@4
@5    ./npaths chain30.g 
@6
@7++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
@ v1 ; npaths=4863696
@ v2 ; npaths=2753448
@ v3 ; npaths=3117596
@ v5 ; npaths=2997540
@ v9 ; npaths=2873808
@ v17 ; npaths=2857424
@ v4 ; npaths=2647404
@ v6 ; npaths=2828260
@ v10 ; npaths=2846900
@ v18 ; npaths=2848860
@ v7 ; npaths=2882124
@ v11 ; npaths=2861952
@ v19 ; npaths=2861952
@ v8 ; npaths=2809964
@ v12 ; npaths=2848860
@ v20 ; npaths=2846900
@ v13 ; npaths=2857424
@ v21 ; npaths=2873808
@ v14 ; npaths=2851748
@ v22 ; npaths=2809964
@ v15 ; npaths=2856100
@ v23 ; npaths=2882124
@ v16 ; npaths=2851748
@ v24 ; npaths=2828260
@ v25 ; npaths=2997540
@ v26 ; npaths=2647404
@ v27 ; npaths=3117596
@ v28 ; npaths=2753448
@ v29 ; npaths=4863696
@ v30 ; npaths=8591212
